cod_specializare,pozitie_2025,pozitie_2024,pozitie_2023
333,7755,8023,7498
355,6787,6517,5796
356,5939,5918,5790
357,6881,6811,5903
358,6644,6463,5993
310,11050,11129,9702
311,15811,16543,14394
312,15679,16379,14414
313,15787,16404,14420
155,9191,8791,7784
334,10495,10611,9375
335,10735,11127,9942
336,10634,10773,9734
337,13547,14257,12831
338,14055,14588,13006
339,12816,13869,12504
229,8903,8636,8121
230,9224,9087,8525
231,9385,9301,8524
232,9465,9417,8619
115,1244,1177,1230
116,957,850,1068
387,4857,4829,4772
388,5347,5257,5056
389,5707,5662,5173
390,6076,6094,5406
156,6095,5867,5416
157,5200,4920,4539
164,10953,11000,9594
165,12928,13081,11947
166,15312,15905,13505
180,12665,12710,10979
181,13798,14296,12216
182,15809,16517,13779
212,5805,6127,5421
213,7682,7798,6843
214,7419,7377,6210
215,7579,7518,6357
373,13952,14453,12322
374,12224,12806,11034
375,13780,14516,12462
,,,
